date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:42	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Mar%202019%2005:32:37%20GMT	http://html.physcode.com/robots.txt		(from )
11:02:42	47162/47162	---MCZ	200	added ('OK')	text/html	etag:W/%22590ae27a-b83a%22	http://html.physcode.com/travel/	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/index.html	(from )
11:02:43	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Mar%202019%2005:32:39%20GMT	http://html.physcode.com/travel/xmlrpc.php	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/xmlrpc.php	(from http://html.physcode.com/travel/)
11:02:44	109109/109109	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d1-1aa35%22	http://html.physcode.com/travel/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/assets/css/bootstrap.min.css	(from http://html.physcode.com/travel/)
11:02:44	29067/29067	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d2-718b%22	http://html.physcode.com/travel/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/assets/css/font-awesome.min.css	(from http://html.physcode.com/travel/)
11:02:44	3090/3090	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d0-c12%22	http://html.physcode.com/travel/assets/css/flaticon.css	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/assets/css/flaticon.css	(from http://html.physcode.com/travel/)
11:02:45	8897/8897	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d2-22c1%22	http://html.physcode.com/travel/assets/css/font-linearicons.css	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/assets/css/font-linearicons.css	(from http://html.physcode.com/travel/)
11:02:45	211639/211639	---MCZ	200	added ('OK')	text/css	etag:W/%225c1afcd1-33ab7%22	http://html.physcode.com/travel/style.css	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/style.css	(from http://html.physcode.com/travel/)
11:02:46	17595/17595	---MCZ	200	added ('OK')	text/css	etag:W/%2258c7c1d3-44bb%22	http://html.physcode.com/travel/assets/css/travel-setting.css	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/assets/css/travel-setting.css	(from http://html.physcode.com/travel/)
11:02:47	21411/21411	---M--	200	added ('OK')	image/png	etag:%2258ba61e0-53a3%22	http://html.physcode.com/travel/images/favicon.png	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/favicon.png	(from http://html.physcode.com/travel/)
11:02:47	4230/4230	---M--	200	added ('OK')	image/png	etag:%2258ba61e0-1086%22	http://html.physcode.com/travel/images/logo.png	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/logo.png	(from http://html.physcode.com/travel/)
11:02:47	5727/5727	---M--	200	added ('OK')	image/png	etag:%2258ba61e1-165f%22	http://html.physcode.com/travel/images/logo_sticky.png	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/logo_sticky.png	(from http://html.physcode.com/travel/)
11:02:48	47162/47162	---MCZ	200	added ('OK')	text/html	etag:W/%22590ae27a-b83a%22	http://html.physcode.com/travel/index.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/index-2.html	(from http://html.physcode.com/travel/)
11:02:48	44788/44788	---MCZ	200	added ('OK')	text/html	etag:W/%22590ae764-aef4%22	http://html.physcode.com/travel/home-2.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/home-2.html	(from http://html.physcode.com/travel/)
11:02:49	46565/46565	---MCZ	200	added ('OK')	text/html	etag:W/%22590ae275-b5e5%22	http://html.physcode.com/travel/home-3.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/home-3.html	(from http://html.physcode.com/travel/)
11:02:49	44903/44903	---MCZ	200	added ('OK')	text/html	etag:W/%22591bc206-af67%22	http://html.physcode.com/travel/home-4.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/home-4.html	(from http://html.physcode.com/travel/)
11:02:49	31784/31784	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1cc-7c28%22	http://html.physcode.com/travel/tours.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/tours.html	(from http://html.physcode.com/travel/)
11:02:50	39418/39418	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1c7-99fa%22	http://html.physcode.com/travel/single-tour.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/single-tour.html	(from http://html.physcode.com/travel/)
11:02:50	27541/27541	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1cb-6b95%22	http://html.physcode.com/travel/tours-list.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/tours-list.html	(from http://html.physcode.com/travel/)
11:02:50	30176/30176	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1ca-75e0%22	http://html.physcode.com/travel/tours-2-cols.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/tours-2-cols.html	(from http://html.physcode.com/travel/)
11:02:51	27431/27431	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1ca-6b27%22	http://html.physcode.com/travel/tours-3-cols.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/tours-3-cols.html	(from http://html.physcode.com/travel/)
11:02:51	25823/25823	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1cb-64df%22	http://html.physcode.com/travel/tours-4-cols.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/tours-4-cols.html	(from http://html.physcode.com/travel/)
11:02:51	26326/26326	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1c5-66d6%22	http://html.physcode.com/travel/destinations.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/destinations.html	(from http://html.physcode.com/travel/)
11:02:52	21274/21274	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1c4-531a%22	http://html.physcode.com/travel/blog.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/blog.html	(from http://html.physcode.com/travel/)
11:02:52	17795/17795	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1c6-4583%22	http://html.physcode.com/travel/gallery.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/gallery.html	(from http://html.physcode.com/travel/)
11:02:52	30772/30772	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1cc-7834%22	http://html.physcode.com/travel/travel-tips.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/travel-tips.html	(from http://html.physcode.com/travel/)
11:02:53	20124/20124	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c2d2-4e9c%22	http://html.physcode.com/travel/typography.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/typography.html	(from http://html.physcode.com/travel/)
11:02:53	20949/20949	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1c4-51d5%22	http://html.physcode.com/travel/checkout.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/checkout.html	(from http://html.physcode.com/travel/)
11:02:53	16215/16215	---MCZ	200	added ('OK')	text/html	etag:W/%2258c7c1c5-3f57%22	http://html.physcode.com/travel/contact.html	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/contact.html	(from http://html.physcode.com/travel/)
11:02:59	29561/29561	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6242-7379%22	http://html.physcode.com/travel/images//tour/430x305/tour-2.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/tour/430x305/tour-2.jpg	(from http://html.physcode.com/travel/)
11:03:00	39179/39179	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6240-990b%22	http://html.physcode.com/travel/images/tour/430x305/tour-1.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/tour/430x305/tour-1.jpg	(from http://html.physcode.com/travel/)
11:03:05	32250/32250	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6241-7dfa%22	http://html.physcode.com/travel/images/tour/430x305/tour-3.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/tour/430x305/tour-3.jpg	(from http://html.physcode.com/travel/)
11:03:05	28813/28813	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6243-708d%22	http://html.physcode.com/travel/images/tour/430x305/tour-4.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/tour/430x305/tour-4.jpg	(from http://html.physcode.com/travel/)
11:03:09	28027/28027	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6243-6d7b%22	http://html.physcode.com/travel/images/tour/430x305/tour-5.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/tour/430x305/tour-5.jpg	(from http://html.physcode.com/travel/)
11:03:10	124283/124283	---M--	200	added ('OK')	image/jpeg	etag:%2258ba61e2-1e57b%22	http://html.physcode.com/travel/images/video_slider.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/video_slider.jpg	(from http://html.physcode.com/travel/)
11:03:12	38733/38733	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6244-974d%22	http://html.physcode.com/travel/images/tour/430x305/tour-6.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/tour/430x305/tour-6.jpg	(from http://html.physcode.com/travel/)
11:03:28	108030/108030	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6215-1a5fe%22	http://html.physcode.com/travel/images/city/24987002020_29d3944b4f_o.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/city/24987002020_29d3944b4f_o.jpg	(from http://html.physcode.com/travel/)
11:03:29	103691/103691	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6216-1950b%22	http://html.physcode.com/travel/images/city/25816508131_00e16429b8_o.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/city/25816508131_00e16429b8_o.jpg	(from http://html.physcode.com/travel/)
11:03:29	124752/124752	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6216-1e750%22	http://html.physcode.com/travel/images/city/26003147786_a04226cd2f_o.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/city/26003147786_a04226cd2f_o.jpg	(from http://html.physcode.com/travel/)
11:03:42	85228/85228	---M--	200	added ('OK')	image/jpeg	etag:%2258ba6217-14cec%22	http://html.physcode.com/travel/images/city/photo-1474181487882-5abf3f0ba6c2.jpg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/city/photo-1474181487882-5abf3f0ba6c2.jpg	(from http://html.physcode.com/travel/)
11:03:43	3832/3832	---M--	200	added ('OK')	image/jpeg	etag:%2258ba61df-ef8%22	http://html.physcode.com/travel/images/avata.jpeg	C:/My%20Web%20Sites/pyg/html.physcode.com/travel/images/avata.jpg	(from http://html.physcode.com/travel/)
